strument,Symbol,Expiry,Strike Price,Type,LTP,Prev. ,% Change in LTP,27-May ,24-May ,OI ,Volume ,Turnover * ,Premium Turnover ,Underlying Value,
,,,,,,Close,,OI,OI,Chng,(Contracts),(crores),(crores),,
Index Futures,NIFTY,30-May-19,-,-,11915.2,11869.4,0.39,"2,06,730","2,31,362","-24,632","1,44,726","12,930.41",-,"11,924.75",
Stock Futures,ICICIBANK,30-May-19,-,-,433.6,430.25,0.78,"46,594","58,296","-11,702",40002,"2,378.32",-,435.05,
Stock Futures,HDFC,30-May-19,-,-,2160.5,2128.5,1.5,"39,912","48,418","-8,506","17,974","1,942.06",-,"2,159.30",
Stock Futures,HDFCBANK,30-May-19,-,-,2404.05,2380.05,1.01,"45,398","52,972","-7,574",27582,"1,657.81",-,"2,404.85",
Index Options,BANKNIFTY,30-May-19,"29,000.00",CE,2578.8,2217.05,16.32,"17,780","24,933","-7,153","10,008",629.92,49.46,"31,647.65",
Index Options,BANKNIFTY,43615,31000,CE,645,409.05,57.68,11147,17854,-6707,39977,2521.84,43.27,31647.65,
Stock Futures,YESBANK,43615,-,-,146.35,141.6,3.35,47618,53680,-6062,39653,1014.8,-,146.75,
Stock Futures,TATASTEEL,43615,-,-,511.05,484.65,5.45,17190,23062,-5872,26788,1432.24,-,512.25,
Index Options,NIFTY,30-May-19,11800,CE,143.5,127,12.99,17016,22759,-5743,"1,01,112",9057.12,108.71,11924.75,
Stock Futures,LT,43615,-,-,1590,1545.4,2.89,20106,25548,-5442,22416,1328.99,-,1593.5,
Stock Futures,AXISBANK,43615,-,-,813,794.25,2.36,23500,28407,-4907,17782,1715.54,-,814,
Stock Futures,DLF,43615,-,-,196.2,191.75,2.32,11845,15902,-4057,14732,750.17,-,196.35,
Stock Futures,IDEA,43615,-,-,13.05,12.9,1.16,19275,23034,-3759,9176,237,-,13.05,
Index Options,BANKNIFTY,43615,31500,CE,276,161,71.43,24368,28064,-3696,"3,85,713",24481.28,181.36,31647.65,
Index Options,BANKNIFTY,43615,29500,CE,2081.5,1742.5,19.45,9428,13092,-3664,4544,285.77,17.67,31647.65,
Stock Futures,UPL,43615,-,-,1019.5,1016.7,0.28,14882,18499,-3617,8030,494.51,-,1027.5,
Stock Futures,M&M,43615,-,-,676.95,665.85,1.67,15243,18772,-3529,8381,565.21,-,678.75,
Index Options,BANKNIFTY,43615,31200,CE,475.5,289.05,64.5,2208,5405,-3197,47566,3004.71,36.59,31647.65,
Stock Futures,VEDL,43615,-,-,166.5,164.4,1.28,9489,12625,-3136,8922,339.86,-,166.4,
Stock Futures,HINDUNILVR,43615,-,-,1773.75,1753.85,1.13,29983,33029,-3046,10226,539.75,-,1770,
Stock Futures,SBIN,43615,-,-,360.2,355.6,1.29,19303,22098,-2795,27110,2923.08,-,360.3,
Index Options,BANKNIFTY,43615,30000,CE,1580.35,1245.95,26.84,7454,10234,-2780,4402,277.2,13.08,31647.65,
Stock Futures,IDFCFIRSTB,43615,-,-,45.9,45,2,6484,9257,-2773,5158,280.39,-,45.85,
Stock Futures,KOTAKBANK,43615,-,-,1523.4,1512.55,0.72,23911,26676,-2765,14254,863.53,-,1530,
Index Options,NIFTY,27-Jun-19,12000,CE,176.6,157.55,12.09,19258,21948,-2690,22823,2084.03,29.96,11924.75,
